id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description
8871,480BC-470BC (circa),Excavated/Findspot: Vulci,pottery,painted,Inscription type: inscription Inscription position: Interior Inscription language: Greek Inscription script: Greek Inscription quoted: KALOΣ (large letters).,satyr; classical deity; mythical figure/creature,Representation of: Dionysos/Bacchus;  Representation of: Maenads,Attic,Greek,Greece,"This exquisite Attic red-figured cup, dating from circa 480-470 BC, is a masterful example of Greek pottery, excavated from Vulci. The interior features a dynamic depiction of a maenad, draped in a chiton and himation, her movements captured as she holds an empty oinochoe and a thyrsos, with her hair elegantly styled in a bun adorned with a red fillet. The exterior presents a vibrant scene with Dionysos, the god of wine, accompanied by satyrs and maenads, all engaged in a lively Dionysian revelry. Each figure is meticulously detailed, from the satyrs' animated gestures to the maenads poised with thyrsi and floral motifs, their garments bordered with fine line work. Notable elements include floral complexes around the handles featuring palmettes and tendrils, and the use of relief line contours for the intricate hairstyle and vine details. A Greek inscription inside adds a further layer of cultural richness to this artifact. The careful painted technique exemplifies the skilled artistry of Ancient Greece, capturing the mythological and ceremonial essence of the period."
9755,500BC-475BC,Excavated/Findspot: Fikellura grave 84,pottery,painted; incised,,satyr; mythical figure/creature; classical deity,Associated with: Silenos;  Representation of: Maenads,Attic,Greek,Greece,"This Attic black-figured oinochoe, a pottery wine jug dating from 500-475 BCE, is a fine example of ancient Greek craftsmanship and artistic expression. It features a trefoil mouth and is adorned with a black design set against a red panel, encircled by a maeander border above and dots along the sides. The artist utilized white and purple as accessory colors to highlight the scene depicting two Seilenoi with long white tresses, moving to the right, and a Maenad retreating in the same direction while glancing back. The Maenad is elegantly portrayed with her hair looped up, wearing a fillet, a long chiton, and a striped himation, with her left hand raised, embodying the dynamic and expressive style typical of the period. In the background, the presence of a fruit-bearing tree adds depth and context to the scene. This piece, associated with the figures of Silenos and Maenads, was excavated from Fikellura grave 84, offering insight into its ceremonial or funerary use in ancient Greek society. It stands as a testament to the cultural and artistic interactions in Greece during this era."
8879,500BC (circa),Excavated/Findspot: Naukratis,pottery,painted,Inscription type: inscription Inscription position: interior Inscription language: Greek Inscription script: Greek Inscription quoted: ]ρα[ Inscription note: Pre-firing red dipinto. Part of label of name or kalos inscription.,classical deity,Representation of: Herakles/Hercules (possibly);  Named in inscription: Herakles/Hercules,Attic; Archaic Greek,Greek,Greece,"This Attic red-figured pottery cup fragment, dating to circa 500 BCE, represents the artistic tradition of Archaic Greece. The interior of this tondo sherd displays a red-figure decoration, likely depicting the right arm and wrist of a figure, possibly Herakles, with a drapery element suggesting it adorns the shoulder. Two letters from a painted Greek inscription are visible, part of a pre-firing red dipinto, potentially a name or kalos inscription. The exterior is elegantly glazed in black, and the piece bears a relief-contour. The sherd's cultural significance is denoted by the possible representation of Herakles, a classical deity celebrated for his strength and heroic deeds. This artifact was excavated at Naukratis, shedding light on the exchange and influence within ancient Greek settlements."
8680,610BC-580BC (circa),Excavated/Findspot: Naukratis,pottery,painted; slipped,,sphinx,,East Greek; Archaic Greek,Greek,Greece,"This rim sherd of a Chian Mature Animal Style pottery chalice, dating from approximately 610 to 580 BCE, exemplifies the artistry of East Greek, Archaic Greek culture. Crafted from pottery and embellished using painted and slipped techniques, it features distinct decorative elements. On the interior, a reserved band at the rim is followed by a streaky black glaze, punctuated by an elaborate rosette outlined in white with added red centers. The exterior is adorned with a band of dots between bands at the rim, descending to a painted decoration that includes the depiction of a sphinx—with the remaining wing visible—facing left. Discovered at the archaeological site of Naukratis, this artifact provides a glimpse into the ceremonial and artistic customs of ancient Greece, highlighting the significance of mythological motifs such as the sphinx in their visual culture."
9590,510BC-500BC (circa),Excavated/Findspot: HMS Colossus;  Excavated/Findspot: St Mary's Island (off),pottery,painted; incised,,classical mythology; architecture,Representation of: Achilles;  Representation of: Polyxena,Attic,Greek,Greece,"This artifact consists of five fragmented pieces from an Attic black-figure lekythos, dating approximately between 510 and 500 BCE. Crafted from pottery and employing both painting and incising techniques, these pieces depict a scene from classical mythology featuring the figures Achilles and Polyxena at a fountain. Additionally, three shoulder fragments display black-figure palmettes, possibly aligning with the main depiction. These fragments pertain to the Attic culture of ancient Greece, embodying the aesthetic and narrative style typical of the Greek section. They were excavated from HMS Colossus near St Mary's Island, providing rich insights into ancient Greek artistic conventions and mythological storytelling."
10092,430BC-400BC (circa),Excavated/Findspot: Fikellura grave 37,pottery,painted,,classical deity,Representation of: Nike/Victoria/Victory,Attic,Greek,Greece,"This Attic red-figured squat lekythos, dating approximately to 430-400 BCE, is an exquisite example of Greek pottery, depicting the classical deity Nike. Illustrated with a graceful, yet somewhat careless style, the figure of Nike is shown standing to the right in a tied Doric chiton, her hair elegantly looped up. She extends both hands towards a spiral plant emerging from the ground. The eye of Nike, rendered in profile with a visible eyelash, adds to the piece's delicate artistry. Beneath the depiction, a thin red line enhances the composition. Crafted from pottery and executed in the painted red-figure technique, this lekythos reflects the stylistic nuances of the period. It was excavated from Fikellura grave 37, providing valuable insight into ancient Greek burial practices and artistic expressions of divine figures."
8748,610BC-580BC (circa),Excavated/Findspot: Naukratis,pottery,painted; slipped,,sphinx (possibly); mammal (possibly),,East Greek; Archaic Greek,Greek,Greece,"This artifact is a rim and body sherd from a Chian Mature Animal Style pottery chalice, dating circa 610-580 BC, from the Archaic Greek period. Originating from East Greek culture, this pottery fragment has been crafted from pottery material with a white slip application. The interior of the sherd exhibits a reserved band at the rim with a streaky black glaze below, while the exterior displays a lotus flower outlined in added white with red centers. Notably, the fragment includes the hind leg and tail of a feline or sphinx, accentuated by a red patch, and possibly part of a second animal, like a lion, trailing the first figure. Complemented by elaborate rosettes and a pendant triangle, these are used as ornamental filler motifs. Excavated at the renowned site of Naukratis, this sherd provides a glimpse into the sophisticated decorative styles and iconography prevalent in East Greek pottery craftsmanship of the time."
9286,520BC-500BC,Found/Acquired: Athens (possibly),pottery,painted; incised,Inscription type: inscription,classical deity; classical mythology; satyr; horse/ass; mythical figure/creature,Representation of: Dionysos/Bacchus;  Representation of: Ariadne;  Representation of: Maenads,Attic,Greek,Greece,"This Attic black-figured kantharos, dating from 520-500 BCE, is a remarkable example of classical Greek pottery, crafted from painted and incised clay. The vessel features a distinct donkey-head attachment and is adorned with purple and white accessories, set against a backdrop of artistic motifs like the ivy-wreath encircling its top and the tongue-pattern detailed below the main designs. On one side (a), the kantharos depicts Ariadne, seated on an okladias, adorned with long hair, an ivy-wreath, and a chiton and himation spotted with purple, holding branches and raising a cantharos in one hand. Adjacent to her, an ithyphallic Satyr stands in a dynamic pose, shading his eyes. On the other side (b), Dionysos, the bearded god of wine, is portrayed riding an ithyphallic mule, wearing an ivy-wreath, and holding vine branches and a bridle. He is accompanied by Satyrs and a Maenad, the latter mirroring the attire and accessories of Ariadne. The mule's head is left in the natural color of the clay with detailed features highlighted in black, white, and purple. The inside of the mule's head is accented with a reddish-purple slip, with the kantharos part finished in black glaze. Though its precise find spot remains uncertain, this artifact was likely discovered in Athens, contributing richly to our understanding of Greek iconography and mythological depictions, particularly those associated with Dionysos and his retinue."
8574,370BC (circa),Excavated/Findspot: St Agata dei Goti,pottery,painted,,satyr; classical deity; mythical figure/creature,Representation of: Dionysos/Bacchus;  Representation of: Iachos (possibly),Attic,Greek,Greece,"This Attic red-figured bell-krater, dating to approximately 370 BCE, is a striking example of painted pottery from ancient Greece. The vessel portrays the scene of anodos, depicting a youthful deity—potentially Iakchos or Apollo—emerging from the ground within a cave setting, accompanied by a small representation of the flying Nike. To the left of this central figure sits Dionysos, identifiable by his thyrsos, amidst a lively assembly of maenads and a satyr. On the right, a maenad holds a tray laden with grapes, symbolizing fertility and festivity. The reverse features the image of three youths, contributing to the narrative depth of the piece. This krater was excavated from St Agata dei Goti, revealing its origins within the rich cultural tapestry of ancient Greece. The meticulously painted imagery encapsulates the religious and mythological iconography of the period, offering insight into the ceremonial and artistic practices of Attic culture."
9974,580BC-560BC (circa),Excavated/Findspot: Athens,pottery,painted; incised,,mythical figure/creature; siren; sphinx,,Attic,Greek,Greece,"This Attic pottery piece, dating from approximately 580-560 BC, is a black-figured pyxis or lekane with a lid, showcasing the quintessential black-on-red decorative technique of ancient Greek ceramics. With a high cover terminated by a truncated conical handle hollowed out at the top, the design is both functional and ornate. The handle is encircled by three swans in a preening posture, set against a field densely adorned with small leaves. Below this motif lies a frieze featuring mythical figures and animals: a large bird in flight flanked by a sphinx and a siren, each adorned with long hair and zigzag diadems, and another section portraying a siren with wings outspread between two lions, with fields rich in small leaves and rosettes. The vase itself carries two distinct friezes; one depicts a bird amidst sirens and panthers, while the other presents confronted sirens and lions. Each scene is framed by an intricate backdrop of small leaves. This pyxis was excavated in Athens, reflecting the rich mythological and artistic traditions of ancient Greece through its imagery of sirens and sphinxes."
