commit	is_valid	total_violations	svr_pass	scsr_pass	scar_pass	status	description
8b6121d	false	3940	2/4	2/4	3/3	keep	baseline - current prompt state on prompt-opt/apr8
a8ab68e	false	3918	2/4	3/4	3/3	keep	enforced required exhibits and legality-first segment checks; removed restricted-gallery violations
04ffab3	false	2857	2/4	2/4	3/3	keep	tightened compactness and endpoint centering; large total drop but restricted-gallery entry returned
4563279	false	3656	2/4	3/4	3/3	discard	hardened corridor legality and endpoint approach; fixed endpoints but reintroduced major forbidden-area drift
7cb583d	false	2768	2/4	3/4	1/3	discard	favored corridor-accessible optional exhibits; lowered total but lost must-see gallery and required exhibit coverage
5b3c027	false	2653	2/4	4/4	3/3	keep	made must-see gallery visits shallower; best total so far with all non-spatial checks passing
aaef0bc	false	4697	2/4	3/4	3/3	discard	increased wall and obstacle clearance wording; caused severe exhibit collisions and lost endpoint accuracy
7e0d8c9	false	1071	2/4	3/4	1/3	discard	favored exhibit standoff coverage; sharply reduced spatial total but missed must-see gallery and most required exhibits
a0d9096	false	2479	2/4	3/4	3/3	keep	drove benchmark prompt requirements from config; improved total but last point drifted outside exit
e06bbbd	false	3718	2/4	2/4	2/3	discard	tightened final exit approach; regressed into forbidden-area drift and missed one required exhibit
